start time;end time;elapsed utime;
160470769;160471069;300;
160471867;160472167;300;
160472970;160473277;307;
160474068;160474380;312;
160475165;160475453;288;
160476260;160476520;260;
160477353;160477613;260;
160478446;160478706;260;
160479539;160479799;260;
160480632;160480892;260;
160481725;160481985;260;
160482818;160483088;270;
160483911;160484181;270;
160485005;160485281;276;
160486097;160486382;285;
160487190;160487475;285;
160488283;160488543;260;
160489375;160489635;260;
160490466;160490726;260;
160491559;160491829;270;
160492652;160492922;270;
160493750;160494010;260;
160494844;160495104;260;
160495940;160496253;313;
160497038;160497349;311;
160498135;160498449;314;
160499249;160499538;289;
160500347;160500636;289;
160501445;160501734;289;
160502542;160502831;289;
160503638;160503927;289;
160504737;160505026;289;
160505835;160506096;261;
160506930;160507190;260;
160508022;160508296;274;
160509114;160509392;278;
160510216;160510477;261;
160511309;160511569;260;
160512401;160512661;260;
160513492;160513752;260;
160514583;160514843;260;
160515677;160515947;270;
160516769;160517030;261;
160517861;160518121;260;
160518954;160519238;284;
160520046;160520326;280;
160521138;160521423;285;
160522232;160522492;260;
160523325;160523585;260;
160524417;160524687;270;
160525515;160525775;260;
160526609;160526870;261;
160527704;160527993;289;
160528803;160529092;289;
160529901;160530190;289;
160530998;160531302;304;
160532095;160532403;308;
160533191;160533503;312;
160534289;160534578;289;
160535387;160535676;289;
160536490;160536779;289;
160537588;160537877;289;
160538685;160538946;261;
160539778;160540039;261;
160540871;160541131;260;
160541964;160542239;275;
160543056;160543336;280;
160544148;160544431;283;
160545242;160545502;260;
160546335;160546605;270;
160547428;160547698;270;
160548521;160548791;270;
160549614;160549874;260;
160550707;160550967;260;
160551800;160552070;270;
160552893;160553163;270;
160553986;160554280;294;
160555078;160555357;279;
160556170;160556455;285;
160557269;160557539;270;
160558364;160558624;260;
160559459;160559756;297;
160560558;160560847;289;
160561657;160561946;289;
160562753;160563042;289;
160563850;160564150;300;
160564946;160565254;308;
160566043;160566360;317;
160567140;160567457;317;
160568244;160568533;289;
160569343;160569632;289;
160570441;160570708;267;
160571535;160571795;260;
160572628;160572888;260;
160573722;160573992;270;
160574815;160575075;260;
160575908;160576168;260;
160577001;160577277;276;
160578093;160578385;292;
160579186;160579471;285;
160580280;160580540;260;
160581374;160581634;260;
160582466;160582727;261;
160583558;160583818;260;
160584651;160584911;260;
160585744;160586004;260;
160586837;160587097;260;
160587929;160588189;260;
160589019;160589300;281;
160590111;160590390;279;
160591204;160591516;312;
160592304;160592593;289;
160593403;160593692;289;
160594501;160594790;289;
160595599;160595888;289;
160596696;160596985;289;
160597794;160598083;289;
160598892;160599183;291;
160599988;160600298;310;
160601085;160601399;314;
160602177;160602461;284;
160603271;160603531;260;
160604364;160604624;260;
160605458;160605718;260;
160606551;160606811;260;
160607644;160607904;260;
160608737;160608997;260;
160609835;160610095;260;
160610928;160611189;261;
160612019;160612294;275;
160613111;160613393;282;
160614202;160614483;281;
160615296;160615566;270;
160616388;160616659;271;
160617480;160617751;271;
160618572;160618842;270;
160619665;160619935;270;
160620763;160621033;270;
160621857;160622117;260;
160622952;160623320;368;
160624049;160624366;317;
160625147;160625460;313;
160626246;160626535;289;
160627342;160627631;289;
160628440;160628729;289;
160629537;160629826;289;
160630634;160630934;300;
160631809;160632098;289;
160632908;160633226;318;
160634005;160634314;309;
160635102;160635416;314;
160636199;160636516;317;
160637298;160637587;289;
160638396;160638685;289;
160639493;160639782;289;
160640592;160640881;289;
160641731;160642020;289;
160642830;160643119;289;
160643922;160644182;260;
160645016;160645294;278;
160646108;160646390;282;
160647200;160647485;285;
160648294;160648555;261;
160649387;160649647;260;
160650480;160650740;260;
160651572;160651832;260;
160652664;160652924;260;
160653757;160654028;271;
160654850;160655120;270;
160655943;160656245;302;
160657035;160657314;279;
160658127;160658409;282;
160659235;160659495;260;
160660329;160660599;270;
160661422;160661692;270;
160662520;160662791;271;
160663614;160663874;260;
160664708;160665004;296;
160665808;160666097;289;
160666906;160667195;289;
160668003;160668308;305;
160669099;160669408;309;
160670195;160670507;312;
160671293;160671582;289;
160672390;160672691;301;
160673492;160673793;301;
160674590;160674879;289;
160675687;160675955;268;
160676780;160677040;260;
160677873;160678133;260;
160678967;160679242;275;
160680059;160680344;285;
160681152;160681437;285;
160682246;160682506;260;
160683339;160683599;260;
160684433;160684693;260;
160685526;160685787;261;
160686619;160686879;260;
160687712;160687972;260;
160688805;160689065;260;
160689898;160690158;260;
160690991;160691267;276;
160692083;160692363;280;
160693176;160693461;285;
160694274;160694535;261;
160695368;160695628;260;
160696461;160696721;260;
160697554;160697825;271;
160698648;160698938;290;
160699744;160700033;289;
160700841;160701130;289;
160701936;160702244;308;
160703033;160703343;310;
160704130;160704444;314;
160705249;160705538;289;
160706349;160706638;289;
160707447;160707707;260;
160708541;160708801;260;
160709635;160709895;260;
160710728;160710988;260;
160711821;160712081;260;
160712914;160713174;260;
160714007;160714291;284;
160715100;160715387;287;
160716194;160716479;285;
160717288;160717548;260;
160718381;160718641;260;
160719474;160719744;270;
160720567;160720827;260;
160721660;160721921;261;
160722752;160723013;261;
160723844;160724105;261;
160724936;160725196;260;
160726027;160726311;284;
160727120;160727398;278;
160728225;160728514;289;
160729325;160729614;289;
160730424;160730713;289;
160731522;160731822;300;
160732619;160732908;289;
160733717;160734006;289;
160734815;160735104;289;
160735913;160736202;289;
160737034;160737345;311;
160738131;160738414;283;
160739238;160739498;260;
160740332;160740592;260;
160741425;160741685;260;
160742518;160742778;260;
160743610;160743871;261;
160744701;160744971;270;
160745794;160746054;260;
160746891;160747152;261;
160747983;160748269;286;
160749075;160749356;281;
160750166;160750451;285;
160751260;160751520;260;
160752353;160752613;260;
160753447;160753717;270;
160754540;160754810;270;
160755633;160755893;260;
160756726;160756986;260;
160757821;160758081;260;
160758915;160759204;289;
160760050;160760361;311;
160761147;160761462;315;
160762246;160762535;289;
160763344;160763633;289;
160764441;160764741;300;
160765539;160765828;289;
160766637;160766937;300;
160767740;160768029;289;
160768840;160769129;289;
160769938;160770204;266;
160771046;160771326;280;
160772138;160772420;282;
160773244;160773504;260;
160774338;160774598;260;
160775431;160775701;270;
160776524;160776784;260;
160777616;160777876;260;
160778714;160778974;260;
160779808;160780068;260;
160780901;160781161;260;
160781994;160782278;284;
160783086;160783367;281;
160784178;160784463;285;
160785272;160785542;270;
160786365;160786625;260;
160787458;160787718;260;
