start time;end time;elapsed utime;
381146709;381146954;245;
381147712;381147957;245;
381148714;381148959;245;
381149717;381149962;245;
381150719;381150964;245;
381151722;381151967;245;
381152725;381152970;245;
381153728;381153973;245;
381154730;381154975;245;
381155732;381155977;245;
381156734;381156979;245;
381157738;381157983;245;
381158740;381158985;245;
381159746;381159991;245;
381160750;381160995;245;
381161802;381162038;236;
381162807;381163052;245;
381163810;381164055;245;
381164812;381165057;245;
381165814;381166059;245;
381166817;381167062;245;
381167820;381168065;245;
381168822;381169067;245;
381169825;381170070;245;
381170828;381171073;245;
381171830;381172075;245;
381172836;381173081;245;
381173839;381174084;245;
381174843;381175088;245;
381175847;381176092;245;
381176850;381177095;245;
381177854;381178099;245;
381178857;381179102;245;
381179860;381180105;245;
381180862;381181107;245;
381181866;381182111;245;
381182869;381183114;245;
381183873;381184118;245;
381184877;381185122;245;
381185881;381186126;245;
381186883;381187128;245;
381187886;381188131;245;
381188889;381189134;245;
381189892;381190137;245;
381190894;381191139;245;
381191898;381192143;245;
381192901;381193146;245;
381193905;381194150;245;
381194909;381195154;245;
381195913;381196158;245;
381196918;381197163;245;
381197921;381198166;245;
381198925;381199170;245;
381199928;381200173;245;
381200930;381201175;245;
381201933;381202178;245;
381202936;381203181;245;
381203939;381204184;245;
381204942;381205187;245;
381205945;381206190;245;
381206948;381207193;245;
381207951;381208196;245;
381208953;381209198;245;
381209956;381210201;245;
381210960;381211216;256;
381211963;381212225;262;
381212966;381213223;257;
381213968;381214225;257;
381214971;381215232;261;
381215973;381216232;259;
381216976;381217235;259;
381217978;381218237;259;
381218981;381219239;258;
381219984;381220243;259;
381220987;381221246;259;
381221989;381222255;266;
381222993;381223244;251;
381223996;381224240;244;
381224997;381225227;230;
381226000;381226229;229;
381227004;381227233;229;
381228006;381228235;229;
381229009;381229239;230;
381230011;381230241;230;
381231014;381231245;231;
381232016;381232246;230;
381233018;381233249;231;
381234020;381234250;230;
381235023;381235266;243;
381236026;381236280;254;
381237028;381237282;254;
381238030;381238285;255;
381239032;381239287;255;
381240034;381240286;252;
381241037;381241289;252;
381242039;381242294;255;
381243041;381243296;255;
381244045;381244307;262;
